timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543659655,38,newOrderForm,308,Permanent Redirect,JPetstore 1-9,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,38,0,0
1614543659749,36,viewCatalog,308,Permanent Redirect,JPetstore 1-12,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,36,0,0
1614543656198,76,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-12,,true,,806,1609,20,20,null,76,3511,0
1614543659794,39,signinForm,308,Permanent Redirect,JPetstore 1-3,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,39,0,0
1614543659213,39,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-3,,true,,410,791,20,20,null,39,581,0
1614543659786,83,homepage,308,Permanent Redirect,JPetstore 1-12,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,83,0,41
1614543659785,83,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-12,,true,,399,550,20,20,null,83,1,41
1614543659939,36,viewCatalog,308,Permanent Redirect,JPetstore 1-3,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,36,0,0
1614543660063,37,viewCategory,308,Permanent Redirect,JPetstore 1-20,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,37,0,0
1614543656227,37,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-20,,true,,428,809,20,20,null,37,3837,0
1614543660082,42,addItemToCart,308,Permanent Redirect,JPetstore 1-14,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,42,0,0
1614543660185,38,newOrderForm,308,Permanent Redirect,JPetstore 1-18,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,38,0,0
1614543660450,37,signinForm,308,Permanent Redirect,JPetstore 1-12,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,37,0,0
1614543659869,37,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-12,,true,,410,791,20,20,null,37,580,0
1614543660589,39,viewCatalog,308,Permanent Redirect,JPetstore 1-12,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,39,0,0
1614543660980,38,signinAccount,308,Permanent Redirect,JPetstore 1-3,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,38,0,0
1614543659834,74,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-3,,true,,798,1819,20,20,null,74,1109,0
1614543661078,41,viewProduct,308,Permanent Redirect,JPetstore 1-6,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,41,0,0
1614543656192,41,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-6,,true,,430,841,20,20,null,41,4885,0
1614543661510,38,confirmOrder,308,Permanent Redirect,JPetstore 1-4,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,38,0,0
1614543649131,156,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-4,,false,,1658,3734,20,20,null,156,12260,0
1614543661606,37,viewProduct,308,Permanent Redirect,JPetstore 1-15,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,37,0,0
1614543656717,37,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-15,,true,,430,841,20,20,null,37,4888,0
1614543661630,35,signinAccount,308,Permanent Redirect,JPetstore 1-12,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,35,0,0
1614543660487,74,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-12,,true,,798,1819,20,20,null,74,1104,0
